Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,time(ms),nblock,states,exp,,,
"test(int, int, int)",308342147,95405473,1,1,1,1024,1,1,37,304,6272,95.405473,0,619,,,,
"test(int, int, int)",311010351,74075265,1,1,1,1024,1,1,37,304,6352,74.075265,1,315,,,,
"test(int, int, int)",311057869,106846553,1,1,1,1024,1,1,37,304,6352,106.846553,2,689,,,,
"test(int, int, int)",311104140,146916618,1,1,1,1024,1,1,37,304,6352,146.916618,3,302,,Average,time(ns),122590406.853175
"test(int, int, int)",311150186,145619475,1,1,1,1024,1,1,37,304,6352,145.619475,4,298,,var,time(ns),707555192347580
"test(int, int, int)",313071534,99939890,1,1,1,1024,1,1,37,304,6352,99.93989,5,279,,,,
"test(int, int, int)",313118252,132299319,1,1,1,1024,1,1,37,304,6352,132.299319,6,274,,Average,time(ms),122.5904068532
"test(int, int, int)",313132524,88992683,1,1,1,1024,1,1,37,304,6352,88.992683,7,265,,var,time(ms),707.5551923476
"test(int, int, int)",313164523,135505138,1,1,1,1024,1,1,37,304,6352,135.505138,8,283,,,,
"test(int, int, int)",313172746,123547051,1,1,1,1024,1,1,37,304,6352,123.547051,9,285,,Average,states,310.5059602649
"test(int, int, int)",313179658,123645288,1,1,1,1024,1,1,37,304,6352,123.645288,10,346,,var,states,4139.1760254361
"test(int, int, int)",313211689,136024098,1,1,1,1024,1,1,37,304,6352,136.024098,11,294,,sum,states,234432
"test(int, int, int)",313219753,109833787,1,1,1,1024,1,1,37,304,6352,109.833787,12,294,,,,
"test(int, int, int)",458188305,118424108,1,1,1,1024,1,1,37,304,6352,118.424108,13,284,,,,
"test(int, int, int)",458188337,102972979,1,1,1,1024,1,1,37,304,6352,102.972979,14,312,,,,
"test(int, int, int)",458188945,114983992,1,1,1,1024,1,1,37,304,6352,114.983992,15,307,,,,
"test(int, int, int)",458189905,100485953,1,1,1,1024,1,1,37,304,6352,100.485953,16,295,,,,
"test(int, int, int)",458189937,103478723,1,1,1,1024,1,1,37,304,6352,103.478723,17,287,,,,
"test(int, int, int)",458190033,112606883,1,1,1,1024,1,1,37,304,6352,112.606883,18,287,,,,
"test(int, int, int)",458190161,102740538,1,1,1,1024,1,1,37,304,6352,102.740538,19,302,,,,
"test(int, int, int)",458190289,129889602,1,1,1,1024,1,1,37,304,6352,129.889602,20,303,,,,
"test(int, int, int)",458190385,111628418,1,1,1,1024,1,1,37,304,6352,111.628418,21,295,,,,
"test(int, int, int)",458190513,105644542,1,1,1,1024,1,1,37,304,6352,105.644542,22,298,,,,
"test(int, int, int)",458190641,74277819,1,1,1,1024,1,1,37,304,6352,74.277819,23,312,,,,
"test(int, int, int)",458190769,119830495,1,1,1,1024,1,1,37,304,6352,119.830495,24,292,,,,
"test(int, int, int)",458190865,127863234,1,1,1,1024,1,1,37,304,6352,127.863234,25,312,,,,
"test(int, int, int)",588202640,124358161,1,1,1,1024,1,1,37,304,6352,124.358161,26,312,,,,
"test(int, int, int)",588202640,134383605,1,1,1,1024,1,1,37,304,6352,134.383605,27,295,,,,
"test(int, int, int)",588202800,84840942,1,1,1,1024,1,1,37,304,6352,84.840942,28,587,,,,
"test(int, int, int)",588203376,96348643,1,1,1,1024,1,1,37,304,6352,96.348643,29,304,,,,
"test(int, int, int)",588203408,129262614,1,1,1,1024,1,1,37,304,6352,129.262614,30,312,,,,
"test(int, int, int)",588203536,90263363,1,1,1,1024,1,1,37,304,6352,90.263363,31,312,,,,
